Condition,User_ID,Time,Category,Gender,Age,Geography,Weight,Score,Response_Time
Impersonal,1042289417,7/7/17 0:36,Arts & Entertainment,Female,18-24,US-NORTHEAST-NY-New York,,3,18841
Impersonal,1120370143,6/7/17 20:24,News,Male,35-44,US-SOUTH-DC-Washington,,3,11200
Impersonal,1223171463,7/7/17 20:01,News,Female,18-24,US-NORTHEAST-MA-Taunton,,3,58175
Impersonal,1274143080,7/7/17 12:54,News,Female,25-34,US-WEST-CO-Aspen,,2,6311
Impersonal,1313061357,7/7/17 21:32,News,Male,35-44,US-MIDWEST-ND-Bismarck,,3,22570
Impersonal,1451863828,7/7/17 7:04,Other,Female,18-24,US-NORTHEAST-MA-Boston,,1,10126
Impersonal,1460119040,7/7/17 19:09,News,Female,18-24,US-WEST-ID-Rexburg,,4,9158
Impersonal,1514370907,7/7/17 17:05,News,Male,25-34,US-WEST-MT-Helena,,2,18145
Impersonal,1589079138,8/7/17 2:30,News,Female,35-44,US-WEST-WA-Seattle,,3,19393
Impersonal,1636731358,7/7/17 12:14,News,Male,25-34,US-WEST-WY-Casper,,3,12729
Impersonal,1824477184,7/7/17 4:23,News,Female,25-34,US-WEST-CO-Denver,,2,7449
Impersonal,1863326688,7/7/17 0:29,Other,Male,25-34,US-WEST-CO-Centennial,,4,15789
Impersonal,1890088325,7/7/17 2:17,News,Male,25-34,US-WEST-CO-Denver,,5,3780
Impersonal,1903848690,6/7/17 21:31,News,Female,25-34,US-NORTHEAST-MA-Boston,,1,33070
Impersonal,2017822699,7/7/17 0:58,Other,Female,18-24,US-SOUTH-VA-Ashburn,,2,28959
Impersonal,2031807630,7/7/17 16:28,News,Female,25-34,US-WEST-MT-Kalispell,,2,12576
Impersonal,2114104153,7/7/17 16:09,News,Female,35-44,US-NORTHEAST-NY-New York,,3,13012
Impersonal,245144564,7/7/17 13:03,News,Male,25-34,US-MIDWEST-MN-Minneapolis,,2,19275
Impersonal,293900689,6/7/17 19:22,News,Male,18-24,US-SOUTH-TX-Austin,,2,6639
Impersonal,313525769,7/7/17 22:28,News,Male,35-44,US-NORTHEAST-RI-Narragansett,,3,8264
Impersonal,4150316,7/7/17 17:45,News,Female,25-34,US-SOUTH-TN-Nashville,,3,39188
Impersonal,614036724,6/7/17 22:15,News,Female,25-34,US-NORTHEAST-NY-New York,,4,15787
Impersonal,753962774,7/7/17 13:10,News,Male,35-44,US-WEST-AZ-Phoenix,,3,23337
Impersonal,759879453,8/7/17 1:57,Mobile App,Male,18-24,US-MIDWEST-OH-Cincinnati,,3,16704
Impersonal,841831420,7/7/17 5:01,News,Female,25-34,US-NORTHEAST-CT-Winchester,,3,3137
Impersonal,864980735,7/7/17 3:50,Other,Male,18-24,US-NORTHEAST-MA-Boston,,3,18411
Impersonal,1432489320,8/7/17 10:49,News,Male,35-44,US-WEST-CO-Centennial,,2,4143
Impersonal,7432902342,8/7/17 6:21,News,Male,18-24,US-MIDWEST-MN-Minneapolis,,2,3132
Impersonal,13218930291,8/7/17 0:44,News,Female,25-34,US-WEST-MT-Helena,,1,1231
Impersonal,20187493021,8/7/17 1:32,News,Male,18-24,US-NORTHEAST-RI-Narragansett,,2,54324
Personal,1028903167,7/7/17 2:13,Other,Female,18-24,US-NORTHEAST-MA-Boston,,2,20808
Personal,109740227,6/7/17 13:26,News,Female,25-34,US-WEST-MT-Bozeman,,3,1127290
Personal,1176493319,6/7/17 12:41,News,Male,25-34,US-NORTHEAST-MA-Braintree,,4,8524
Personal,1185124034,7/7/17 15:22,News,Female,35-44,US-WEST-MT-Missoula,,4,19487
Personal,1382133872,6/7/17 4:20,Other,Male,18-24,US-NORTHEAST-MA-Boston,,1,5481
Personal,1623322422,7/7/17 13:53,News,Female,25-34,US-MIDWEST-ND-Williston,,3,28139
Personal,1793181748,7/7/17 6:18,Other,Male,18-24,US-NORTHEAST-MA-Boston,,3,30154
Personal,1839376474,6/7/17 17:57,News,Male,25-34,US-SOUTH-GA-Atlanta,,5,8615
Personal,1841387285,6/7/17 17:25,News,Female,18-24,US-WEST-CA-Bakersfield,,3,20203
Personal,1872688680,6/7/17 22:53,News,Female,18-24,US-NORTHEAST-MA-Manchester-by-the-Sea,,2,9028
Personal,1886785625,6/7/17 13:45,News,Male,35-44,US-WEST-MT-Missoula,,4,13689
Personal,1897057288,6/7/17 14:45,News,Male,35-44,US-MIDWEST-MO-St. Louis,,3,20017
Personal,1980134682,7/7/17 10:19,News,Female,25-34,US-NORTHEAST-CT-Norwalk,,3,21069
Personal,1992259590,6/7/17 14:09,News,Male,25-34,US-WEST-NM-Albuquerque,,4,9754
Personal,2044704280,6/7/17 17:18,News,Male,25-34,US-WEST-AZ-Flagstaff,,2,18695
Personal,2084742566,7/7/17 14:31,News,Female,35-44,US-WEST-MT-Bozeman,,2,13340
Personal,241429579,6/7/17 4:41,News,Male,25-34,US-NORTHEAST-MA-Marblehead,,5,4224
Personal,302088387,6/7/17 2:41,News,Female,35-44,US-WEST-CA-Hanford,,2,18971
Personal,329097001,6/7/17 20:25,News,Female,25-34,US-WEST-CO-Denver,,3,43781
Personal,337531533,7/7/17 14:02,News,Female,35-44,US-SOUTH-FL-Orlando,,4,20581
Personal,354445761,7/7/17 13:40,News,Female,18-24,US-WEST-CO-Denver,,3,14753
Personal,42076912,7/7/17 15:22,News,Female,35-44,US-SOUTH-TN-Tullahoma,,1,9611
Personal,467387455,6/7/17 7:55,News,Male,25-34,US-WEST-UT-Salt Lake City,,3,27042
Personal,470991857,7/7/17 12:51,News,Female,35-44,US-MIDWEST-ND-Bismarck,,3,21846
Personal,486595471,6/7/17 15:30,News,Male,18-24,US-NORTHEAST-NH-Rye,,5,9742
Personal,51398950,6/7/17 11:01,News,Male,25-34,US-NORTHEAST-CT-New Britain,,3,24719
Personal,567163689,6/7/17 20:40,News,Male,25-34,US-WEST-CO-Denver,,5,13533
Personal,880098906,7/7/17 1:27,News,Female,25-34,US-NORTHEAST-NY-New York,,2,14274
Personal,895446881,7/7/17 9:59,News,Female,35-44,US-SOUTH-MS-Oxford,,5,7625
Personal,918659737,6/7/17 15:41,News,Male,25-34,US-WEST-MT-Bozeman,,5,16967
