Condition,User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Synonym Group,Price,Response_Time
Time,1125299670,9/7/17 22:45,Complete,News,Male,65+,US-MIDWEST-MO-Florissant,1.1291791,39.5,39.5,80679
Time,1238570858,11/7/17 5:01,Complete,Other,Female,45-54,US-MIDWEST-ND-Mayville,1.273988,35,35,10827
Time,1426530800,9/7/17 20:07,Complete,News,Male,35-44,US-MIDWEST-MI-DeWitt,0.0000081,35,35,32060
Time,472546757,10/7/17 1:02,Complete,News,Male,35-44,US-SOUTH-TN-Nashville,0.0193791,30,30,22244
Time,575305722,9/7/17 4:43,Complete,News,Male,35-44,US-MIDWEST-IA-Jesup,0.0000081,20,20,25568
Time,616630937,10/7/17 21:25,Complete,Other,Female,35-44,US-WEST-CA-Tracy,0,30,30,27617
Time,644870086,9/7/17 23:06,Complete,News,Female,35-44,US-SOUTH-DC-Washington,3.9800387,35,35,14338
Time,653495044,10/7/17 15:29,Complete,News,Male,45-54,US-MIDWEST-MI-Iron Mountain,0.0062031,35,35,18411
Time,675869443,10/7/17 16:01,Complete,News,Male,45-54,US-WEST-CO-Aurora,0.7573619,35,35,15968
Time,75240164,10/7/17 7:58,Complete,News,Male,55-64,US-WEST-NM-Albuquerque,1.8338338,30,30,124825
Social,1039388363,9/7/17 18:12,Complete,Arts & Entertainment,Male,55-64,US-WEST-CA-Orange,0.7205858,18.5,18.5,37223
Social,1080404258,10/7/17 23:42,Complete,Other,Female,45-54,US-NORTHEAST-MA-Boston,1.3370654,25,25,54361
Social,1090114933,9/7/17 19:42,Complete,Arts & Entertainment,Male,35-44,US-MIDWEST-KS-Olathe,0.0197874,30,30,24803
Social,1355435371,9/7/17 20:58,Complete,News,Male,65+,US-MIDWEST-MO-Osage Beach,1.2039189,19.99,19.99,68918
Social,1373896925,11/7/17 2:19,Complete,News,Female,35-44,US-WEST-MT-Helena,1.9031452,40,40,14360
Social,1456238059,10/7/17 22:57,Complete,Other,Female,18-24,US-NORTHEAST-NY-New York,1.2089525,30,30,39626
Social,1877505185,9/7/17 16:25,Complete,News,Male,55-64,US-WEST-MT-Missoula,0.7205858,20,20,19219
Social,1908833021,11/7/17 2:18,Complete,News,Male,45-54,US-MIDWEST-IL-Chicago,0.2505863,20,20,17372
Social,2025848260,10/7/17 17:44,Complete,News,Male,25-34,US-MIDWEST-OH-Cincinnati,1.6353727,25,25,24795
Social,578162701,10/7/17 11:44,Complete,News,Male,45-54,US-MIDWEST-MO-Kirkwood,0,30,30,35372
